feature,semantic_type,missing_pct,n_unique,eda_recommendation,reason
field_059,numeric,99.9979,21,exclude_until_mapped,Raw field without a confirmed business definition.
field_063,numeric,99.1482,77,exclude_until_mapped,Raw field without a confirmed business definition.
field_108,numeric,95.52040000000001,1536,exclude_until_mapped,Raw field without a confirmed business definition.
field_111,numeric,99.0765,206,exclude_until_mapped,Raw field without a confirmed business definition.
loan_age,numeric,1.7312999999999998,83,candidate,Usable for modeling after preprocessing and leakage review.
max_dq_past_12m,numeric,1.7312999999999998,67,candidate,Usable for modeling after preprocessing and leakage review.
original_cltv,numeric,0.0,75,candidate,Usable for modeling after preprocessing and leakage review.
original_interest_rate,numeric,0.0,415,candidate,Usable for modeling after preprocessing and leakage review.
original_loan_term,numeric,0.0,39,candidate,Usable for modeling after preprocessing and leakage review.
original_ltv,numeric,0.0,68,candidate,Usable for modeling after preprocessing and leakage review.
original_upb,numeric,0.0,725,candidate,Usable for modeling after preprocessing and leakage review.
paydown_pct,numeric,0.0,816697,candidate,Usable for modeling after preprocessing and leakage review.
prior_dq_num,numeric,2.6502999999999997,67,candidate,Usable for modeling after preprocessing and leakage review.
total_principal_current,numeric,2.6502999999999997,155108,candidate,Usable for modeling after preprocessing and leakage review.
upb_ratio,numeric,0.0,816697,candidate,Usable for modeling after preprocessing and leakage review.
asset_recovery_costs,possible_leakage_or_post_event,99.9979,6,drop_or_audit_for_leakage,Potential post-event or future-outcome field.
foreclosure_costs,possible_leakage_or_post_event,99.9979,21,drop_or_audit_for_leakage,Potential post-event or future-outcome field.
property_preservation_and_repair_costs,possible_leakage_or_post_event,99.9979,20,drop_or_audit_for_leakage,Potential post-event or future-outcome field.
upb_at_time_of_removal,possible_leakage_or_post_event,98.2687,16841,drop_or_audit_for_leakage,Potential post-event or future-outcome field.
zero_balance_code,possible_leakage_or_post_event,98.2687,7,drop_or_audit_for_leakage,Potential post-event or future-outcome field.
future_serious_dq_6m,target,4.2658000000000005,2,target,"Outcome variable, not a predictor."
